"accepted_1" "accepted_2" "accepted_3" "accepted_4" "accepted_5" "accepted_01" "accepted_02" "accepted_03" "accepted_04" "accepted_05"
"E024795" 0 0 0 0 0 61 0 0 0 0
"E058765" 0 0 0 0 0 62 0 0 0 0
"E008270" 0 0 0 0 0 63 0 0 0 0
"E015307" 0 0 0 0 0 64 0 0 0 0
"E030789" 0 0 0 0 0 65 0 0 0 0
"E062585" 0 0 0 0 0 66 0 0 0 0
"E008268" 0 0 0 0 0 67 0 0 0 0
"E053014" 0 0 0 0 0 68 0 0 0 0
"E054874" 0 0 0 0 0 69 0 0 0 0
"E066845" 0 0 0 0 0 70 0 0 0 0
"E004753" 0 0 0 0 0 71 0 0 0 0
"E032550" 0 0 0 0 0 72 0 0 0 0
"E067585" 0 0 0 0 0 73 0 0 0 0
"E014476" 0 0 0 0 0 74 0 0 0 0
"E016630" 0 0 0 0 0 75 0 0 0 0
"E044141" 0 0 0 0 0 76 0 0 0 0
"E058768" 0 0 0 0 0 77 0 0 0 0
"E008863" 0 0 0 0 0 80 0 0 0 0
"E014975" 0 0 0 0 0 81 0 0 0 0
"E017768" 0 0 0 0 0 82 0 0 0 0
"E019490" 0 0 0 0 0 83 0 0 0 0
"E047307" 0 0 0 0 0 84 0 0 0 0
"E050839" 0 0 0 0 0 85 0 0 0 0
"E054818" 0 0 0 0 0 86 0 0 0 0
"E062608" 0 0 0 0 0 87 0 0 0 0
"E001202" 0 0 0 0 0 88 0 0 0 0
"E004754" 0 0 0 0 0 89 0 0 0 0
"E008271" 0 0 0 0 0 90 0 0 0 0
"E025376" 0 0 0 0 0 91 0 0 0 0
"E030858" 0 0 0 0 0 92 0 0 0 0
"E033722" 0 0 0 0 0 93 0 0 0 0
"E034044" 0 0 0 0 0 94 0 0 0 0
"E044308" 0 0 0 0 0 95 0 0 0 0
"E052495" 0 0 0 0 0 96 0 0 0 0
"E058175" 0 0 0 0 0 97 0 0 0 0
"E058573" 0 0 0 0 0 98 0 0 0 0
"E058766" 0 0 0 0 0 99 0 0 0 0
"E061100" 0 0 0 0 0 100 0 0 0 0
"E042861" 0 0 0 0 0 0 6 12 14 13
"E000777" 0 0 0 0 0 0 7 8 25 25
"E036805" 0 0 0 0 0 0 11 11 16 16
"E030687" 0 0 0 0 0 0 12 23 91 50
"E001914" 0 0 0 0 0 0 14 16 56 61
"E030686" 0 0 0 0 0 0 15 28 98 55
"E066201" 0 0 0 0 0 0 16 17 12 12
"E005570" 0 0 0 0 0 0 17 18 11 11
"E035458" 0 0 0 0 0 0 19 15 17 18
"E065638" 0 0 0 0 0 0 20 24 59 53
"E032974" 0 0 0 0 0 0 21 37 31 23
"E027513" 0 0 0 0 0 0 22 33 21 26
"E021130" 0 0 0 0 0 0 23 48 42 46
"E066902" 0 0 0 0 0 0 24 43 37 32
"E052626" 0 0 0 0 0 0 25 22 30 38
"E067436" 0 0 0 0 0 0 26 38 33 35
"E066278" 0 0 0 0 0 0 27 19 15 14
"E040755" 0 0 0 0 0 0 28 40 20 17
"E059721" 0 0 0 0 0 0 29 27 22 29
"E042793" 0 0 0 0 0 0 30 55 0 0
"E048126" 0 0 0 0 0 0 31 41 73 71
"E008316" 0 0 0 0 0 0 32 39 89 0
"E030688" 0 0 0 0 0 0 33 54 0 0
"E035521" 0 0 0 0 0 0 36 42 41 43
"E048803" 0 0 0 0 0 0 37 32 77 57
"E032054" 0 0 0 0 0 0 38 25 44 31
"E065805" 0 0 0 0 0 0 39 30 18 15
"E023214" 0 0 0 0 0 0 40 35 13 24
"E066213" 0 0 0 0 0 0 41 45 24 22
"E067198" 0 0 0 0 0 0 42 36 28 28
"E067188" 0 0 0 0 0 0 43 26 36 37
"E047430" 0 0 0 0 0 0 44 46 40 20
"E065475" 0 0 0 0 0 0 45 47 35 36
"E018671" 0 0 0 0 0 0 46 31 27 21
"E065950" 0 0 0 0 0 0 48 50 29 30
"E050078" 0 0 0 0 0 0 49 49 93 0
"E063887" 0 0 0 0 0 0 50 53 26 33
"E027777" 0 0 0 0 0 0 51 0 79 99
"E065985" 0 0 0 0 0 0 53 51 47 56
"E015901" 0 0 0 0 0 0 54 83 0 86
"E010006" 0 0 0 0 0 0 55 76 69 68
"E040540" 0 0 0 0 0 0 57 60 0 0
"E053626" 0 0 0 0 0 0 58 57 0 0
"E047874" 0 0 0 0 0 0 59 56 0 0
"E067716" 0 0 0 0 0 0 60 59 83 94
"E034327" 0 0 0 0 0 0 61 58 71 77
"E060027" 0 0 0 0 0 0 62 68 0 0
"E066349" 0 0 0 0 0 0 63 52 43 42
"E002115" 0 0 0 0 0 0 64 61 45 39
"E002120" 0 0 0 0 0 0 65 62 46 40
"E005261" 0 0 0 0 0 0 67 0 0 0
"E018587" 0 0 0 0 0 0 68 0 0 0
"E044464" 0 0 0 0 0 0 69 89 0 0
"E051904" 0 0 0 0 0 0 70 80 0 0
"E016292" 0 0 0 0 0 0 71 0 0 0
"E047432" 0 0 0 0 0 0 72 0 0 0
"E040240" 0 0 0 0 0 0 73 90 0 0
"E040752" 0 0 0 0 0 0 74 85 66 59
"E036277" 0 0 0 0 0 0 75 77 0 0
"E036279" 0 0 0 0 0 0 76 78 0 0
"E030488" 0 0 0 0 0 0 77 73 0 0
"E037794" 0 0 0 0 0 0 78 63 39 44
"E048730" 0 0 0 0 0 0 79 71 0 0
"E016032" 0 0 0 0 0 0 80 86 80 64
"E063609" 0 0 0 0 0 0 81 79 90 74
"E062467" 0 0 0 0 0 0 82 69 54 63
"E017433" 0 0 0 0 0 0 83 100 34 51
"E008102" 0 0 0 0 0 0 84 94 86 79
"E005306" 0 0 0 0 0 0 85 67 88 69
"E006908" 0 0 0 0 0 0 89 64 0 0
"E040114" 0 0 0 0 0 0 90 0 0 0
"E030553" 0 0 0 0 0 0 91 0 0 0
"E021612" 0 0 0 0 0 0 92 91 95 0
"E067763" 0 0 0 0 0 0 93 82 60 67
"E010225" 0 0 0 0 0 0 94 0 0 0
"E029402" 0 0 0 0 0 0 95 0 0 0
"E009399" 0 0 0 0 0 0 96 72 85 62
"E061652" 0 0 0 0 0 0 97 0 0 0
"E047496" 0 0 0 0 0 0 98 88 58 70
"E009869" 0 0 0 0 0 0 99 84 0 0
"E051860" 0 0 0 0 0 0 100 0 0 0
"E049699" 0 0 0 0 0 0 0 65 61 73
"E051154" 0 0 0 0 0 0 0 66 0 0
"E011495" 0 0 0 0 0 0 0 75 87 0
"E011994" 0 0 0 0 0 0 0 81 0 0
"E015321" 0 0 0 0 0 0 0 92 78 82
"E048165" 0 0 0 0 0 0 0 93 55 66
"E066118" 0 0 0 0 0 0 0 95 75 98
"E060966" 0 0 0 0 0 0 0 96 63 78
"E024572" 0 0 0 0 0 0 0 97 92 72
"E031103" 0 0 0 0 0 0 0 98 0 0
"E066613" 0 0 0 0 0 0 0 99 50 52
"E055322" 0 0 0 0 0 0 0 0 48 48
"E055324" 0 0 0 0 0 0 0 0 49 49
"E066258" 0 0 0 0 0 0 0 0 51 41
"E022319" 0 0 0 0 0 0 0 0 57 47
"E009853" 0 0 0 0 0 0 0 0 62 84
"E023607" 0 0 0 0 0 0 0 0 64 65
"E031396" 0 0 0 0 0 0 0 0 65 0
"E067338" 0 0 0 0 0 0 0 0 67 83
"E063867" 0 0 0 0 0 0 0 0 70 75
"E031643" 0 0 0 0 0 0 0 0 72 95
"E011271" 0 0 0 0 0 0 0 0 74 88
"E011272" 0 0 0 0 0 0 0 0 76 0
"E040243" 0 0 0 0 0 0 0 0 81 60
"E063699" 0 0 0 0 0 0 0 0 82 96
"E026583" 0 0 0 0 0 0 0 0 84 0
"E067727" 0 0 0 0 0 0 0 0 94 0
"E031391" 0 0 0 0 0 0 0 0 96 92
"E067238" 0 0 0 0 0 0 0 0 97 97
"E007793" 0 0 0 0 0 0 0 0 99 0
"E007795" 0 0 0 0 0 0 0 0 100 0
"E014014" 0 0 0 0 0 0 0 0 0 76
"E019023" 0 0 0 0 0 0 0 0 0 80
"E032768" 0 0 0 0 0 0 0 0 0 85
"E048082" 0 0 0 0 0 0 0 0 0 87
"E016592" 0 0 0 0 0 0 0 0 0 89
"E049399" 0 0 0 0 0 0 0 0 0 91
"E031644" 0 0 0 0 0 0 0 0 0 93
"E015986" 0 0 0 0 0 0 0 0 0 100
