"accepted_01" "accepted_02" "accepted_03" "accepted_04" "accepted_05" "accepted_06" "accepted_07" "accepted_08" "accepted_09" "accepted_010" "accepted_1" "accepted_2" "accepted_3" "accepted_4" "accepted_5"
"E000193" 0 0 0 0 0 0 0 0 0 0 4 22 18 8 23
"E000194" 0 0 0 0 0 0 0 1 1 0 1 17 8 5 1
"E000195" 0 1 1 1 6 1 1 1 1 1 9 58 29 17 163
"E000196" 0 0 0 0 0 0 0 0 0 0 16 17 7 27 56
"E000197" 0 0 0 0 0 0 0 0 0 0 50 45 18 88 200
"E000198" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"E000199" 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0
"E000200" 0 0 0 0 0 2 0 0 0 0 2 34 16 8 23
"E000201" 0 0 0 0 0 2 0 0 0 0 6 86 32 12 97
"E000202" 0 0 0 0 0 0 0 0 0 0 12 259 108 30 403
"E000203" 0 1 1 0 1 1 0 1 2 0 41 54 25 25 244
"E000204" 0 0 0 0 0 1 0 0 0 0 9 6 3 5 22
"E000205" 0 0 0 0 0 0 0 0 0 0 15 14 8 6 22
"E000206" 0 0 0 0 0 0 0 0 0 0 10 16 9 6 22
"E000207" 0 0 0 0 0 0 0 0 0 0 18 46 34 22 48
"E000208" 0 0 0 0 0 0 0 0 0 0 57 378 273 159 1317
"E000209" 0 0 0 0 0 0 0 0 0 0 54 339 255 162 1794
"E000210" 0 0 0 0 0 0 0 0 0 0 63 402 309 129 1827
"E000211" 0 0 0 0 0 0 0 0 0 0 6 8 6 24 62
"E000212" 0 0 0 0 0 0 0 1 0 0 2 2 3 1 57
"E000213" 0 0 0 0 0 0 0 0 0 0 9 23 17 11 24
"E000214" 0 0 0 0 0 0 0 0 0 0 38 252 182 106 878
"E000215" 0 0 0 0 0 0 0 0 0 0 36 226 170 108 1196
"E000216" 0 0 0 0 0 0 0 0 0 0 21 134 103 43 609
"E000217" 0 0 0 0 0 0 0 0 0 0 12 94 82 35 399
"E000218" 0 0 0 0 0 0 0 0 0 0 9 23 17 11 24
"E000219" 0 0 0 0 0 1 0 0 0 0 22 139 109 47 645
"E000220" 0 0 0 0 0 0 0 0 0 0 9 23 17 11 24
"E000221" 0 0 0 0 1 0 0 1 0 0 6 6 6 3 80
"E000222" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000223" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"E000224" 0 0 0 0 0 0 0 0 0 0 6 13 18 27 62
"E000225" 0 0 0 0 0 0 0 0 0 0 20 39 52 90 224
"E000226" 0 0 0 0 0 0 0 0 0 0 18 31 66 79 212
"E000227" 0 0 0 0 0 0 0 0 0 0 9 28 51 53 241
"E000228" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000229" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000230" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"E000231" 0 0 0 0 0 3 0 1 0 0 0 0 1 0 20
"E000232" 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
"E000233" 0 2 1 0 0 3 0 0 0 0 26 9 4 19 60
"E000234" 0 0 0 0 0 0 0 0 0 0 11 15 22 19 157
"E000235" 0 0 0 0 0 0 0 0 0 2 64 212 218 178 1404
"E000236" 0 0 0 3 0 3 0 0 3 0 138 564 540 465 2748
"E000237" 0 0 0 0 0 0 0 0 0 0 2 1 1 2 0
"E000238" 0 0 0 0 0 0 0 0 0 0 11 15 22 18 157
"E000239" 0 0 0 0 0 0 0 0 0 0 23 83 112 50 454
"E000240" 0 0 0 0 1 1 1 0 1 1 54 318 303 208 1645
"E000241" 0 0 0 0 0 0 0 0 0 0 7 10 1 0 1
"E000242" 0 0 0 0 0 1 0 0 0 0 23 60 18 3 21
"E000243" 0 0 0 0 0 0 0 0 0 2 111 94 43 33 373
"E000244" 0 0 5 0 0 2 2 0 0 1 1126 835 372 374 3356
"E000245" 0 0 1 0 0 0 0 1 0 0 44 507 436 48 998
"E000246" 0 0 0 0 0 0 0 0 0 0 33 395 308 32 727
"E000247" 0 0 2 0 3 1 3 1 2 1 256 2483 1947 300 5087
"E000248" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000249" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"E000250" 0 1 0 0 1 0 1 3 1 0 0 0 0 0 0
"E000251" 0 3 0 0 0 1 0 2 0 0 1 1 2 7 0
"E000252" 0 0 1 1 0 3 3 1 1 1 2 5 1 10 20
"E000253" 0 1 2 0 0 2 1 0 0 0 0 0 0 4 20
"E000254" 0 1 0 0 2 0 0 0 0 0 1 0 0 6 20
"E000255" 0 4 4 1 2 9 1 6 3 4 1 21 1 3 20
"E000256" 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0
"E000257" 0 0 0 0 0 0 0 0 0 0 4 6 5 3 20
"E000258" 0 0 0 0 0 1 0 0 0 0 5 7 10 3 22
"E000259" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"E000260" 0 0 0 0 0 0 0 0 0 0 4 3 2 0 40
"E000261" 0 0 0 0 0 0 0 1 0 0 5 6 3 0 61
"E000262" 0 0 0 0 1 0 0 0 1 0 6 15 6 1 16
"E000263" 0 1 0 0 0 0 0 0 2 0 13 25 29 2 131
"E000264" 0 0 1 0 0 0 0 0 3 1 19 37 36 4 95
"E000265" 0 1 0 0 2 0 1 0 4 0 16 37 19 6 183
"E000266" 0 0 0 0 0 0 0 0 1 0 8 108 66 26 290
"E000267" 0 0 0 0 0 0 0 0 3 0 87 1569 642 339 3867
"E000268" 0 0 0 0 0 0 0 0 0 0 0 2 5 0 1
"E000269" 0 0 0 0 0 0 0 0 1 0 8 107 66 26 290
"E000270" 0 0 0 0 0 0 0 0 0 0 0 2 5 0 1
"E000271" 0 0 0 0 0 0 0 0 1 0 8 107 66 26 290
"E000272" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000273" 0 0 0 0 0 0 0 0 0 0 7 20 14 11 225
"E000274" 0 0 0 0 0 0 0 0 0 0 18 70 48 31 638
"E000275" 0 0 0 0 0 0 0 0 0 1 12 45 18 17 95
"E000276" 0 0 0 0 0 0 0 0 0 0 1 3 3 1 13
